"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Utah","Salt Lake City ","SLC",472,375,26,1443,NA,NA,NA,46
"Vermont","St. Albans ","STA",34,211,NA,118,NA,NA,NA,NA
"Virginia","Norfolk ","NOR",431,351,40,1042,NA,NA,NA,59
"Washington","Seattle ","SEA",1060,680,56,2668,29,50,NA,109
"Washington","Spokane ","SPO",59,67,NA,123,NA,NA,NA,NA
"Washington","Yakima","YAK",125,227,NA,335,NA,NA,NA,NA
"Wisconsin","Milwaukee ","MIL",385,265,22,964,NA,NA,NA,35
"Service Center","California","WSC",224,25046,2355,22200,49814,47365,4629,357263
"Service Center","Nebraska","NSC",41348,16821,68,98851,1542,14716,152,8169
"Service Center","Texas","SSC",8387,11933,60,36932,261,1198,339,1696
"Service Center","Vermont","ESC",8729,1300,1321,20183,18498,15691,3090,141795
