"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"October 1- December 31, 2013",,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
Kansas,,,,,,,,,,,,,
,Wichita,142,115, D ,430, D , D , -   ,15,146,119, D ,445
Kentucky,,,,,,,,,,,,,
,Louisville ,258,150,16,703,11, D , D ,29,269,154,17,732
Louisiana,,,,,,,,,,,,,
,New Orleans ,430,304,42,"1,491",12, D , -   ,77,442,305,42,"1,568"
Maine,,,,,,,,,,,,,
,Portland ,78,62,11,179, -   , D , D , D ,78,64,13,182
Maryland,,,,,,,,,,,,,
,Baltimore ,"1,446","1,327",95,"4,436",39,24, D ,132,"1,485","1,351",97,"4,568"
Massachusetts,,,,,,,,,,,,,
,Boston ,"1,506","1,186",105,"4,176",22,24, D ,80,"1,528","1,210",111,"4,256"
,Lawrence,577,343,29,"1,670",13, D , -   ,54,590,350,29,"1,724"
Michigan,,,,,,,,,,,,,
,Detroit ,889,836,57,"2,847",15, D , -   ,293,904,840,57,"3,140"
Minnesota,,,,,,,,,,,,,
,St. Paul ,834,931,72,"2,629",19, D , D ,86,853,940,76,"2,715"
Missouri,,,,,,,,,,,,,
,Kansas City ,344,588,47,"1,103",11, D , -   ,47,355,592,47,"1,150"
,St. Louis ,205,309,18,682, D , D , -   ,35,212,313,18,717
Montana,,,,,,,,,,,,,
,Helena ,39,449, D ,117, -   , D , -   , D ,39,457, D ,120
Nebraska,,,,,,,,,,,,,
,Omaha ,227,419,27,700, D ,12, -   ,50,232,431,27,750
Nevada,,,,,,,,,,,,,
,Las Vegas ,716,601,47,"1,555",11,14, D ,70,727,615,49,"1,625"
,Reno ,106,173,11,367, D , D , -   , D ,108,175,11,371
New Hampshire,,,,,,,,,,,,,
,Manchester ,135,120, D ,315, D , D , D , D ,136,124, D ,322
New Jersey,,,,,,,,,,,,,
,Mount Laurel,580,789,80,"1,645",19, D , -   ,110,599,796,80,"1,755"
,Newark ,"2,812","1,811",192,"8,120",57,26, D ,477,"2,869","1,837",194,"8,597"
New Mexico,,,,,,,,,,,,,
,Albuquerque ,183,144,12,498, D , D , -   ,19,188,147,12,517
New York,,,,,,,,,,,,,
,Albany ,159,106, D ,456, D , -   , -   ,12,160,106, D ,468
,Buffalo ,260,314,41,742, D ,13, D ,40,267,327,46,782
,Long Island,"1,781","1,344",34,"5,328",37,11, D ,377,"1,818","1,355",39,"5,705"
,New York ,"5,334","4,717",500,"17,713",108,51, D ,"1,194","5,442","4,768",509,"18,907"
,Queens,"1,908","1,772",55,"5,746",44, D , D ,433,"1,952","1,777",63,"6,179"
North Carolina,,,,,,,,,,,,,
,Charlotte ,548,391,22,"1,428", D ,19, -   ,31,557,410,22,"1,459"
,Raleigh,514,446,30,"1,554", D , D , D ,41,522,448,31,"1,595"
Ohio,,,,,,,,,,,,,
,Cincinnati ,184,196,16,595, D , D , -   ,22,188,203,16,617
,Cleveland ,272,226,18,746, D , D , -   ,21,280,234,18,767
,Columbus,295,365,48,820, D , D , D ,26,297,371,51,846
Oklahoma,,,,,,,,,,,,,
,Oklahoma City ,364,220,20,"1,179",13, -   , -   ,78,377,220,20,"1,257"
Oregon,,,,,,,,,,,,,
,Portland ,506,326,18,"1,374",23,13, D ,69,529,339,20,"1,443"
Pennsylvania,,,,,,,,,,,,,
,Philadelphia,"1,404","1,139",116,"4,198",22,32, D ,137,"1,426","1,171",117,"4,335"
,Pittsburgh ,252,138,17,558, D , D , -   ,21,253,144,17,579
Rhode Island,,,,,,,,,,,,,
,Providence ,243,229,21,614, D , D , -   ,21,246,230,21,635
South Carolina,,,,,,,,,,,,,
,Charleston ,319,319,26,"1,038", D , D , D ,43,326,325,28,"1,081"
Tennessee,,,,,,,,,,,,,
,Memphis ,600,503,42,"1,739",14, D , -   ,73,614,507,42,"1,812"
Texas,,,,,,,,,,,,,
,Dallas ,"2,113","1,228",165,"7,520",54,24, D ,393,"2,167","1,252",168,"7,913"
,El Paso ,641,972,39,"1,643",10, D , -   ,48,651,974,39,"1,691"
,Harlingen ,712,"1,204",43,"1,402",20,31, D ,54,732,"1,235",44,"1,456"
,Houston ,"2,568","1,913",140,"6,480",82,21, D ,524,"2,650","1,934",145,"7,004"
,San Antonio ,"1,314","1,046",28,"3,330",49,13, D ,217,"1,363","1,059",31,"3,547"
Utah,,,,,,,,,,,,,
,Salt Lake City ,472,375,26,"1,443", D , D , -   ,46,479,379,26,"1,489"
Vermont,,,,,,,,,,,,,
,St. Albans ,34,211, D ,118, -   , D , D , D ,34,213, D ,120
Virginia,,,,,,,,,,,,,
,Norfolk ,431,351,40,"1,042", D , -   , D ,59,438,351,41,"1,101"
Washington,,,,,,,,,,,,,
,Seattle ,"1,060",680,56,"2,668",29,50, D ,109,"1,089",730,60,"2,777"
,Spokane ,59,67, D ,123, -   , D , -   , D ,59,68, D ,128
,Yakima,125,227, D ,335, D , D , -   , D ,126,236, D ,341
Wisconsin,,,,,,,,,,,,,
,Milwaukee ,385,265,22,964, D , D , D ,35,393,269,23,999
Field Office by Territory6,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,Hagatna,116,105,19,178, -   , D , D , D ,116,107,20,180
U.S. Virgin Islands,,,,,,,,,,,,,
,Charlotte Amalie,28,57, D ,136, D , D , -   , D ,29,58, D ,139
,Christiansted , D , D , D ,38, -   , -   , -   , D , D , D , D ,39
Puerto Rico,,,,,,,,,,,,,
,San Juan ,226,280,15,"1,198", D , D , -   ,46,232,281,15,"1,244"
Service Center,,,,,,,,,,,,,
,California,224,"25,046","2,355","22,200","49,814","47,365","4,629","357,263","50,038","72,411","6,984","379,463"
,Nebraska,"41,348","16,821",68,"98,851","1,542","14,716",152,"8,169","42,890","31,537",220,"107,020"
,Texas,"8,387","11,933",60,"36,932",261,"1,198",339,"1,696","8,648","13,131",399,"38,628"
,Vermont,"8,729","1,300","1,321","20,183","18,498","15,691","3,090","141,795","27,227","16,991","4,411","161,978"
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
"""-' Represents zero",,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), February 2014",,,,,,,,,,,,,
